1668654002.462882000	2437	-90	e4:4e:2d:ea:68:25	fe:19:8e:d5:33:f6	3510		e4:7e:b8:60:42:c3
1668654002.848452000	2462	-93	dc:21:5c:92:af:81	ff:ff:ff:ff:ff:ff	3831		ff:ff:ff:ff:ff:ff
1668654006.089733000	2437	-85	8e:7a:48:27:2f:df	ff:ff:ff:ff:ff:ff	1864		ff:ff:ff:ff:ff:ff
1668654006.146564000	2437	-88	8e:7a:48:27:2f:df	ff:ff:ff:ff:ff:ff	1865		ff:ff:ff:ff:ff:ff
1668654006.177705000	2462	-94	4a:55:f3:69:01:2b	ff:ff:ff:ff:ff:ff	3277	UWS	ff:ff:ff:ff:ff:ff
1668654006.245495000	2462	-87	70:b3:17:a0:52:80	ff:ff:ff:ff:ff:ff	622		70:b3:17:a0:52:80
1668654006.918636000	2462	-91	3e:3e:df:14:e1:53	ff:ff:ff:ff:ff:ff	1196		ff:ff:ff:ff:ff:ff
1668654009.474795000	2462	-90	1e:cb:af:0d:a9:1b	ff:ff:ff:ff:ff:ff	1010		ff:ff:ff:ff:ff:ff
1668654009.495007000	2462	-90	1e:cb:af:0d:a9:1b	ff:ff:ff:ff:ff:ff	1414		ff:ff:ff:ff:ff:ff
1668654009.795646000	2437	-88	36:b4:db:55:16:2a	ff:ff:ff:ff:ff:ff	3088		ff:ff:ff:ff:ff:ff
1668654009.820346000	2437	-89	36:b4:db:55:16:2a	ff:ff:ff:ff:ff:ff	3285		ff:ff:ff:ff:ff:ff
1668654010.250726000	2412	-91	ea:54:c4:c1:fc:5d	ff:ff:ff:ff:ff:ff	3679		ff:ff:ff:ff:ff:ff
1668654010.290347000	2412	-93	ea:54:c4:c1:fc:5d	ff:ff:ff:ff:ff:ff	3681		ff:ff:ff:ff:ff:ff
1668654010.591955000	2437	-79	ea:54:c4:c1:fc:5d	ff:ff:ff:ff:ff:ff	3696		ff:ff:ff:ff:ff:ff
1668654010.631951000	2437	-80	ea:54:c4:c1:fc:5d	ff:ff:ff:ff:ff:ff	3698		ff:ff:ff:ff:ff:ff
1668654010.676658000	2437	-83	ea:54:c4:c1:fc:5d	ff:ff:ff:ff:ff:ff	3700		ff:ff:ff:ff:ff:ff
1668654010.717974000	2437	-85	ea:54:c4:c1:fc:5d	ff:ff:ff:ff:ff:ff	3702		ff:ff:ff:ff:ff:ff
1668654010.802056000	2437	-82	ea:54:c4:c1:fc:5d	ff:ff:ff:ff:ff:ff	3706		ff:ff:ff:ff:ff:ff
1668654011.098648000	2462	-90	ea:54:c4:c1:fc:5d	ff:ff:ff:ff:ff:ff	3719		ff:ff:ff:ff:ff:ff
1668654011.138765000	2462	-89	ea:54:c4:c1:fc:5d	ff:ff:ff:ff:ff:ff	3720		ff:ff:ff:ff:ff:ff
1668654011.370208000	2412	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	572		ff:ff:ff:ff:ff:ff
1668654011.370228000	2437	-50	b2:87:e6:41:27:91	ff:ff:ff:ff:ff:ff	2620		ff:ff:ff:bb:b9:b9
1668654011.372409000	2412	-28	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	573		ff:ff:ff:ff:ff:ff
1668654011.372429000	2462	-76	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	573		ff:ff:ff:ff:ff:ff
1668654011.433457000	2412	-82	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	574		ff:ff:ff:ff:ff:ff
1668654011.433477000	2437	-42	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	574		ff:ff:ff:ff:ff:ff
1668654011.435610000	2412	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	575		ff:ff:ff:ff:ff:ff
1668654011.435629000	2437	-42	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	575		ff:ff:ff:ff:ff:ff
1668654011.477476000	2437	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	576		ff:ff:ff:ff:ff:ff
1668654011.479586000	2437	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	577		ff:ff:ff:ff:ff:ff
1668654011.479606000	2462	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	577		ff:ff:ff:ff:ff:ff
1668654011.521507000	2437	-27	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	578		ff:ff:ff:ff:ff:ff
1668654011.521526000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	578		ff:ff:ff:ff:ff:ff
1668654011.523682000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	579		ff:ff:ff:ff:ff:ff
1668654011.565513000	2412	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	580		ff:ff:ff:ff:ff:ff
1668654011.565533000	2437	-20	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	580		ff:ff:ff:ff:ff:ff
1668654011.565549000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	580		ff:ff:ff:ff:ff:ff
1668654011.567585000	2412	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	581		ff:ff:ff:ff:ff:ff
1668654011.567605000	2437	-20	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	581		ff:ff:ff:ff:ff:ff
1668654011.567621000	2462	-60	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	581		ff:ff:ff:ff:ff:ff
1668654011.604275000	2462	-75	06:13:50:1c:33:13	ff:ff:ff:ff:ff:ff	3379		ff:ff:ff:ff:ff:ff
1668654011.605778000	2462	-74	ee:f5:0d:fc:f7:27	ff:ff:ff:ff:ff:ff	238		ff:ff:ff:ff:ff:ff
1668654011.609462000	2412	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	582		ff:ff:ff:ff:ff:ff
1668654011.609482000	2437	-18	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	582		ff:ff:ff:ff:ff:ff
1668654011.609497000	2462	-58	32:8b:64:09:27:91	ff:ff:ff:7f:b7:ff	582	M\b�\f	ff:ff:ff:ff:ff:ff
1668654011.611660000	2412	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	583		ff:ff:ff:ff:ff:ff
1668654011.611680000	2437	-17	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	583		ff:ff:ff:ff:ff:ff
1668654011.645385000	2437	-87	9a:86:b0:88:37:d0	ff:ff:ff:ff:ff:ff	3578		ff:ff:ff:ff:ff:ff
1668654011.646714000	2437	-87	ba:23:a0:20:f1:cb	ff:ff:ff:ff:ff:ff	417		ff:ff:ff:ff:ff:ff
1668654011.653467000	2412	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	584		ff:ff:ff:ff:ff:ff
1668654011.653488000	2437	-19	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	584		ff:ff:ff:ff:ff:ff
1668654011.653504000	2462	-51	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	584		ff:ff:ff:ff:ff:ff
1668654011.655615000	2412	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	585		ff:ff:ff:ff:ff:ff
1668654011.655635000	2437	-21	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	585		ff:ff:ff:ff:ff:ff
1668654011.655651000	2462	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	585		ff:ff:ff:ff:ff:ff
1668654011.668185000	2437	-75	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	586		ff:ff:ff:ff:ff:ff
