1668657602.627646000	2437	-94	cf:21:5c:92:ad:92	ff:ff:ff:ff:ff:fd	1769		ff:76:ba:ff:ff:ff
1668657602.816064000	2462	-93	dc:21:5c:92:af:81	0f:3b:fe:ff:ff:ff	2751		ff:ff:ff:ff:ff:ff
1668657603.515152000	2462	-86	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	1	SHAW-EED3BA	ff:ff:ff:ff:ff:ff
1668657603.535725000	2462	-85	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	2	SHAW-EED3BA	ff:ff:ff:ff:ff:ff
1668657607.872238000	2412	-31	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	21	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668657607.874366000	2412	-31	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	22	5099251212	ff:ff:ff:ff:ff:ff
1668657607.875698000	2412	-31	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	23		ff:ff:ff:ff:ff:ff
1668657607.912197000	2412	-32	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	24	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668657607.913614000	2412	-31	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	25	5099251212	ff:ff:ff:ff:ff:ff
1668657607.914944000	2412	-32	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	26		ff:ff:ff:ff:ff:ff
1668657607.954819000	2412	-34	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	27	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668657607.956175000	2412	-36	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	28	5099251212	ff:ff:ff:ff:ff:ff
1668657607.994394000	2412	-35	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	30	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668657607.995796000	2412	-35	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	31	5099251212	ff:ff:ff:ff:ff:ff
1668657608.035845000	2412	-42	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	33	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668657608.120028000	2437	-26	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	40	5099251212	ff:ff:ff:ff:ff:ff
1668657608.160466000	2412	-48	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	43	5099251212	ff:ff:ff:ff:ff:ff
