1668682802.392261000	2437	-90	70:b3:17:c0:42:c6	92:ff:ff:ff:ff:ff	3998		70:b3:17:c0:42:c6
1668682807.565437000	2462	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	1	SHAW-EED3BA	ff:ff:ff:ff:ff:ff
1668682807.586260000	2462	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	2	SHAW-EED3BA	ff:ff:ff:ff:ff:ff
1668682807.828519000	2437	-95	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	13	SHAW-EED3BA	ff:ff:ff:ff:ff:ff
1668682813.809431000	2462	-76	be:29:b0:cf:c8:b0	ff:ff:ff:ff:ff:ff	1585		ff:ff:ff:ff:ff:ff
1668682813.830489000	2462	-76	be:29:b0:cf:c8:b0	ff:ff:ff:ff:ff:ff	1586		ff:ff:ff:ff:ff:ff
1668682813.876500000	2412	-85	a2:ec:7f:22:29:7c	ff:ff:ff:ff:ff:ff	153		77:db:ef:db:ed:ff
1668682813.902892000	2437	-84	ee:0f:03:ea:3c:59	ff:ff:ff:ff:ff:ff	715		ff:ff:ff:ff:ff:ff
1668682813.926699000	2437	-83	ee:0f:03:ea:3c:59	ff:ff:ff:ff:ff:ff	716		ff:ff:ff:ff:ff:ff
1668682813.950027000	2412	-83	72:cc:3e:94:cd:4d	ff:ff:ff:ff:ff:ff	3151		ff:ff:ff:ff:ff:ff
1668682813.972274000	2412	-84	72:cc:3e:94:cd:4d	ff:ff:ff:ff:ff:ff	3152		ff:ff:ff:ff:ff:ff
1668682814.081752000	2412	-84	1a:39:af:6b:63:8a	ff:ff:ff:ff:ff:ff	777		ff:ff:ff:ff:ff:ff
1668682814.083380000	2412	-84	3a:8e:5f:e9:6b:e8	ff:ff:ff:ff:ff:ff	2364		ff:ff:ff:ff:ff:ff
1668682814.122216000	2462	-85	d6:fd:14:e9:bf:0b	ff:ff:ff:ff:ff:ff	3368		ff:ff:ff:ff:ff:ff
1668682814.123520000	2462	-85	de:fb:ee:0c:c5:6a	ff:ff:ff:ff:ff:ff	1319		ff:ff:ff:ff:ff:ff
1668682814.168632000	2437	-80	a6:85:60:c7:87:4f	ff:ff:ff:ff:ff:ff	3267		ff:ff:ff:ff:ff:ff
1668682814.179293000	2437	-80	f2:c1:9c:0a:47:e2	ff:ff:ff:ff:ff:ff	446		ff:ff:ff:ff:ff:ff
1668682814.447832000	2412	-86	06:12:83:a4:da:8c	ff:ff:ff:ff:ff:ff	133		ff:ff:ff:ff:ff:ff
1668682814.449130000	2412	-85	6a:70:e0:9d:4c:cb	ff:ff:ff:ff:ff:ff	488		ff:ff:ff:ff:ff:ff
1668682814.708819000	2437	-75	1e:2f:37:71:28:b9	ff:ff:ff:ff:ff:ff	737		ff:ff:ff:ff:ff:ff
1668682814.710162000	2437	-78	16:37:b0:d7:4f:a6	ff:ff:ff:ff:ff:ff	3316		ff:ff:ff:ff:ff:ff
1668682815.301989000	2437	-76	6a:70:e0:9d:4c:cb	ff:ff:ff:ff:ff:ff	1080		ff:ff:ff:ff:ff:ff
1668682815.303220000	2437	-75	0e:80:0c:8f:b1:72	ff:ff:ff:ff:ff:ff	887		ff:ff:ff:ff:ff:ff
1668682815.937789000	2412	-89	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	3627		ff:ff:ff:ff:ff:ff
1668682815.940809000	2412	-90	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	3628		ff:ff:ff:ff:ff:ff
1668682815.942971000	2412	-86	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	3629		ff:ff:ff:ff:ff:ff
1668682815.984104000	2412	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1818		ff:ff:ff:ff:ff:ff
1668682815.984124000	2437	-47	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1818		ff:ff:ff:ff:ff:ff
1668682815.984140000	2462	-75	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1818		ff:ff:ff:ff:ff:ff
1668682815.986295000	2412	-28	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1819		ff:ff:ff:ff:ff:ff
1668682815.986315000	2437	-47	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1819		ff:ff:ff:ff:ff:ff
1668682815.986332000	2462	-76	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1819		ff:ff:ff:ff:ff:ff
1668682816.027120000	2412	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1820		ff:ff:ff:ff:ff:ff
1668682816.027140000	2437	-42	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1820		ff:ff:ff:ff:ff:ff
1668682816.029516000	2412	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1821		ff:ff:ff:ff:ff:ff
1668682816.029537000	2437	-43	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1821		ff:ff:ff:ff:ff:ff
1668682816.073296000	2437	-77	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1822		ff:ff:ff:ff:ff:ff
1668682816.073316000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1822		ff:ff:ff:ff:ff:ff
1668682816.075591000	2437	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1823		ff:ff:ff:ff:ff:ff
1668682816.115126000	2412	-49	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1824		ff:ff:ff:ff:ff:ff
1668682816.115147000	2437	-26	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1824		ff:ff:ff:ff:ff:ff
1668682816.115163000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1824		ff:ff:ff:ff:ff:ff
1668682816.117274000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1825		ff:ff:ff:ff:ff:ff
1668682816.117295000	2412	-47	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1825		ff:ff:ff:ff:ff:ff
1668682816.117311000	2437	-26	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1825		ff:ff:ff:ff:ff:ff
1668682816.129719000	2437	-20	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1826		ff:ff:ff:ff:ff:ff
1668682816.129738000	2462	-59	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1826		ff:ff:ff:ff:ff:ff
1668682816.132654000	2412	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1827		ff:ff:ff:ff:ff:ff
1668682816.132674000	2437	-20	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1827		ff:ff:ff:ff:ff:ff
1668682816.132689000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1827		ff:ff:ff:ff:ff:ff
1668682816.193996000	2412	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1828		ff:ff:ff:ff:ff:ff
1668682816.194015000	2462	-59	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1828		ff:ff:ff:ff:ff:ff
1668682816.196131000	2412	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1829		ff:ff:ff:ff:ff:ff
1668682816.196151000	2437	-18	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1829		ff:ff:ff:ff:ff:ff
1668682816.196166000	2462	-59	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1829		ff:ff:ff:ff:ff:ff
1668682816.258604000	2412	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1830		ff:ff:ff:ff:ff:ff
1668682816.258624000	2437	-20	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1830		ff:ff:ff:ff:ff:ff
1668682816.258640000	2462	-48	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1830		ff:ff:ff:ff:ff:ff
1668682816.260745000	2462	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1831		ff:ff:ff:ff:ff:ff
1668682816.268743000	2437	-88	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	3644		ff:ff:ff:ff:ff:ff
1668682816.322290000	2462	-46	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1832		ff:ff:ff:ff:ff:ff
1668682816.324470000	2412	-80	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1833		ff:ff:ff:ff:ff:ff
1668682816.390148000	2462	-31	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1835		ff:ff:ff:ff:ff:ff
1668682816.390168000	2437	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1835		ff:ff:ff:ff:ff:ff
1668682816.451591000	2437	-44	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1836		ff:ff:ff:ff:ff:ff
1668682816.454168000	2437	-47	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1837		ff:ff:ff:ff:ff:ff
1668682816.454188000	2462	-25	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1837		ff:ff:ff:ff:ff:ff
1668682816.514842000	2412	-78	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1838		ff:ff:ff:ff:ff:ff
1668682816.514862000	2437	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1838		ff:ff:ff:ff:ff:ff
1668682816.517672000	2412	-80	b2:87:66:09:27:91	fd:ff:a6:ec:ff:ff	1839		ff:ff:ff:ff:ff:ff
1668682816.517691000	2437	-51	b2:87:66:09:27:91	ff:ef:f6:ae:93:ff	1839		ff:ff:ff:ff:ff:ff
1668682816.517706000	2462	-24	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1839		ff:ff:ff:ff:ff:ff
1668682816.579124000	2462	-90	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	3657		ff:ff:ff:ff:ff:ff
1668682816.583480000	2412	-79	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1840		ff:ff:ff:ff:ff:ff
1668682816.583500000	2437	-60	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1840		ff:ff:ff:ff:ff:ff
1668682816.583516000	2462	-24	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1840		ff:ff:ff:ff:ff:ff
1668682816.586118000	2412	-79	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1841		ff:ff:ff:ff:ff:ff
1668682816.586139000	2437	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1841		ff:ff:ff:ff:ff:ff
1668682816.643565000	2437	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1842		ff:ff:ff:ff:ff:ff
1668682816.646393000	2412	-83	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1843		ff:ff:ff:ff:ff:ff
1668682816.646414000	2437	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1843		ff:ff:ff:ff:ff:ff
1668682817.441068000	2412	-43	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1272		ff:ff:ff:ff:ff:ff
1668682817.443430000	2412	-41	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1273		ff:ff:ff:ff:ff:ff
1668682817.504693000	2412	-43	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1274		ff:ff:ff:ff:ff:ff
1668682817.506693000	2412	-43	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1275		ff:ff:ff:ff:ff:ff
