1668693602.404165000	2412	-86	71:b3:17:a0:53:94	0a:b8:29:b0:9b:7c	510		41:54:bf:38:8c:9d
1668693602.843789000	2437	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	14	SHAW-EED3BA	ff:ff:ff:ff:ff:ff
1668693604.359228000	2412	-89	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	2221		ff:ff:ff:ff:ff:ff
1668693604.364677000	2412	-91	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	2223		ff:ff:ff:ff:ff:ff
1668693604.686883000	2437	-90	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	2236		ff:ff:ff:ff:ff:ff
1668693604.689126000	2437	-90	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	2237		ff:ff:ff:ff:ff:ff
1668693604.691925000	2437	-91	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	2238		ff:ff:ff:ff:ff:ff
1668693605.006556000	2462	-89	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	2251		ff:ff:ff:ff:ff:ff
1668693605.011038000	2462	-87	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	2253		ff:ff:ff:ff:ff:ff
1668693607.964502000	2412	-28	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1456		ff:ff:ff:ff:ff:ff
1668693607.964522000	2437	-48	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1456		ff:ff:ff:ff:ff:ff
1668693607.964538000	2462	-75	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1456		ff:ff:ff:ff:ff:ff
1668693607.966897000	2412	-28	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1457		ff:ff:ff:ff:ff:ff
1668693607.966917000	2437	-50	f6:c1:20:0b:05:d4	ff:ff:ff:ff:7f:b7	4017		fd:6e:bf:9b:db:ff
1668693607.966932000	2462	-76	d0:82:18:37:5b:b1	ff:ff:ff:ff:ff:ff	3733		ef:67:fb:99:1a:f0
1668693608.027143000	2412	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1458		ff:ff:ff:ff:ff:ff
1668693608.027163000	2437	-44	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1458		ff:ff:ff:ff:ff:ff
1668693608.029338000	2412	-30	43:43:a3:0d:bf:50	7f:f6:fe:be:9b:3b	4059		59:f2:ff:9d:b9:8b
1668693608.029358000	2437	-44	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1459		ff:ff:ff:ff:ff:ff
1668693608.071051000	2412	-82	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1460		ff:ff:ff:ff:ff:ff
1668693608.071071000	2437	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1460		ff:ff:ff:ff:ff:ff
1668693608.071086000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1460		ff:ff:ff:ff:ff:ff
1668693608.073142000	2437	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1461		ff:ff:ff:ff:ff:ff
1668693608.115128000	2412	-49	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1462		ff:ff:ff:ff:ff:ff
1668693608.115148000	2437	-74	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1462		ff:ff:ff:ff:ff:ff
1668693608.115163000	2462	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1462		ff:ff:ff:ff:ff:ff
1668693608.117246000	2412	-49	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1463		ff:ff:ff:ff:ff:ff
1668693608.117266000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1463		ff:ff:ff:ff:ff:ff
1668693608.129796000	2412	-54	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1464		ff:ff:ff:ff:ff:ff
1668693608.129816000	2437	-21	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1464		ff:ff:ff:ff:ff:ff
1668693608.129831000	2462	-59	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1464		ff:ff:ff:ff:ff:ff
1668693608.132004000	2412	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1465		ff:ff:ff:ff:ff:ff
1668693608.132024000	2437	-20	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1465		ff:ff:ff:ff:ff:ff
1668693608.132039000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1465		ff:ff:ff:ff:ff:ff
1668693608.193926000	2412	-59	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1466		ff:ff:ff:ff:ff:ff
1668693608.193946000	2437	-17	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1466		ff:ff:ff:ff:ff:ff
1668693608.193961000	2462	-57	b2:87:66:09:27:91	ff:dd:fe:ff:ff:ff	1466		ff:ff:ff:ff:ff:ff
1668693608.196073000	2412	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1467		ff:ff:ff:ff:ff:ff
1668693608.196093000	2437	-17	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1467		ff:ff:ff:ff:ff:ff
1668693608.196110000	2462	-59	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1467		ff:ff:ff:ff:ff:ff
1668693608.237896000	2437	-19	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1468		ff:ff:ff:ff:ff:ff
1668693608.237916000	2462	-48	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1468		ff:ff:ff:ff:ff:ff
1668693608.240027000	2412	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1469		ff:ff:ff:ff:ff:ff
1668693608.240047000	2437	-19	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1469		ff:ff:ff:ff:ff:ff
1668693608.240062000	2462	-50	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1469		ff:ff:ff:ff:ff:ff
1668693608.252593000	2412	-77	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1470		ff:ff:ff:ff:ff:ff
1668693608.252613000	2462	-45	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1470		ff:ff:ff:ff:ff:ff
1668693608.281870000	2437	-47	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1474		ff:ff:ff:ff:ff:ff
1668693608.281890000	2462	-25	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1474		ff:ff:ff:ff:ff:ff
1668693608.283992000	2437	-47	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1475		ff:ff:ff:ff:ff:ff
1668693608.325901000	2412	-77	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1476		ff:ff:ff:ff:ff:ff
1668693608.325921000	2437	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1476		ff:ff:ff:ff:ff:ff
1668693608.325936000	2462	-24	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1476		ff:ff:ff:ff:ff:ff
1668693608.328070000	2437	-54	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1477		ff:ff:ff:ff:ff:ff
1668693608.328091000	2462	-24	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1477		ff:ff:ff:ff:ff:ff
1668693608.370124000	2412	-79	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1478		ff:ff:ff:ff:ff:ff
