1668754802.535103000	2462	-91	e4:4e:2d:c5:7d:e7	fb:ff:ff:ff:ff:ff	1758		e4:4e:2d:c5:bd:db
1668754802.636968000	2462	-89	6f:62:cb:31:d3:e2	c6:fe:ff:ff:57:67	1750		e4:4e:2d:c5:bd:99
1668754803.120568000	2412	-90	b4:70:64:81:15:a8	ff:ff:ff:ff:ff:ff	1900		ff:ff:ff:ff:ff:ff
1668754803.161741000	2412	-89	b4:70:64:81:15:a8	ff:ff:ff:ff:ff:ff	1902		ff:ff:ff:ff:ff:ff
1668754803.181749000	2412	-88	b4:70:64:81:15:a8	ff:ff:ff:ff:ff:ff	1903		ff:ff:ff:ff:ff:ff
1668754803.529775000	2437	-87	b4:70:64:81:15:a8	ff:ff:ff:ff:ff:ff	1920		ff:ff:ff:ff:ff:ff
1668754803.550683000	2437	-83	b4:70:64:81:15:a8	ff:ff:ff:ff:ff:ff	1921		ff:ff:ff:ff:ff:ff
1668754803.558257000	2462	-88	e5:4e:ad:2b:1f:6a	9f:f1:21:22:1a:3b	3532		60:f0:e6:13:86:d9
1668754803.570967000	2437	-84	b4:70:64:81:15:a8	ff:ff:ff:ff:ff:ff	1922		ff:ff:ff:ff:ff:ff
1668754803.591172000	2437	-83	b4:70:64:81:15:a8	ff:ff:ff:ff:ff:ff	1923		ff:ff:ff:ff:ff:ff
1668754803.711611000	2462	-90	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	1		ff:ff:ff:ff:ff:ff
1668754803.732354000	2462	-86	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	2		ff:ff:ff:ff:ff:ff
1668754803.764577000	2412	-34	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3386	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668754803.766042000	2412	-33	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3387	5099251212	ff:ff:ff:ff:ff:ff
1668754803.768117000	2412	-34	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3388		ff:ff:ff:ff:ff:ff
