1668780002.471179000	2412	-82	53:e9:2e:17:45:67	6b:4d:cb:9f:08:ed	3977		da:c8:fb:00:3d:d1
1668780003.929246000	2412	-90	70:b3:17:a0:52:81	ff:ff:ff:ff:ff:ff	2783		70:b3:17:a0:52:81
1668780006.222963000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1554		ff:ff:ff:ff:ff:ff
1668780006.222983000	2437	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1554		ff:ff:ff:ff:ff:ff
1668780006.222998000	2462	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1554		ff:ff:ff:ff:ff:ff
1668780006.225390000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1555		ff:ff:ff:ff:ff:ff
1668780006.225410000	2437	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1555		ff:ff:ff:ff:ff:ff
1668780006.225425000	2462	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1555		ff:ff:ff:ff:ff:ff
1668780006.266434000	2412	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1556		ff:ff:ff:ff:ff:ff
1668780006.266454000	2437	-59	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1556		ff:ff:ff:ff:ff:ff
1668780006.268684000	2437	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1557		ff:ff:ff:ff:ff:ff
1668780006.268703000	2462	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1557		ff:ff:ff:ff:ff:ff
1668780006.311008000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1558		ff:ff:ff:ff:ff:ff
1668780006.313184000	2437	-51	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1559		ff:ff:ff:ff:ff:ff
1668780006.313203000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1559		ff:ff:ff:ff:ff:ff
1668780006.354431000	2412	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1560		ff:ff:ff:ff:ff:ff
1668780006.356518000	2412	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1561		ff:ff:ff:ff:ff:ff
1668780006.356538000	2437	-41	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1561		ff:ff:ff:ff:ff:ff
1668780006.356553000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1561		ff:ff:ff:ff:ff:ff
1668780006.398490000	2412	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1562		ff:ff:ff:ff:ff:ff
1668780006.398510000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1562		ff:ff:ff:ff:ff:ff
1668780006.398525000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1562		ff:ff:ff:ff:ff:ff
1668780006.400690000	2412	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1563		ff:ff:ff:ff:ff:ff
1668780006.400710000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1563		ff:ff:ff:ff:ff:ff
1668780006.400725000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1563		ff:ff:ff:ff:ff:ff
1668780006.442511000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1564		ff:ff:ff:ff:ff:ff
1668780006.442531000	2462	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1564		ff:ff:ff:ff:ff:ff
1668780006.444667000	2412	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1565		ff:ff:ff:ff:ff:ff
1668780006.444686000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1565		ff:ff:ff:ff:ff:ff
1668780006.444702000	2462	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1565		ff:ff:ff:ff:ff:ff
1668780006.486445000	2462	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1566		ff:ff:ff:ff:ff:ff
1668780006.486465000	2412	-76	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1566		ff:ff:ff:ff:ff:ff
1668780006.486480000	2437	-35	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1566		ff:ff:ff:ff:ff:ff
1668780006.488604000	2437	-35	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1567		ff:ff:ff:ff:ff:ff
1668780006.532556000	2412	-84	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1569		ff:ff:ff:ff:ff:ff
1668780006.576559000	2437	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1571		ff:ff:ff:ff:ff:ff
1668780006.618536000	2437	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1572		ff:ff:ff:ff:ff:ff
1668780006.618555000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1572		ff:ff:ff:ff:ff:ff
1668780006.620687000	2437	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1573		ff:ff:ff:ff:ff:ff
1668780006.620706000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1573		ff:ff:ff:ff:ff:ff
1668780006.662459000	2437	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1574		ff:ff:ff:ff:ff:ff
1668780006.662479000	2462	-80	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1574		ff:ff:ff:ff:ff:ff
1668780006.664809000	2437	-72	b2:87:66:09:27:91	ff:ff:bb:7d:b7:ff	1575		ff:ff:ff:ff:ff:ff
1668780006.664828000	2462	-27	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1575		ff:ff:ff:ff:ff:ff
1668780006.706537000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1576		ff:ff:ff:ff:ff:ff
1668780006.708657000	2462	-28	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1577		ff:ff:ff:ff:ff:ff
1668780006.770762000	2412	-86	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1578		ff:ff:ff:ff:ff:ff
1668780009.971892000	2412	-35	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	85	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668780009.973318000	2412	-35	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	86	5099251212	ff:ff:ff:ff:ff:ff
1668780009.974908000	2412	-35	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	87		ff:ff:ff:ff:ff:ff
1668780010.011840000	2412	-34	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	88	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668780010.013275000	2412	-37	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	89	5099251212	ff:ff:ff:ff:ff:ff
1668780010.014828000	2412	-35	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	90		ff:ff:ff:ff:ff:ff
1668780010.054996000	2412	-37	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	92	5099251212	ff:ff:ff:ff:ff:ff
1668780010.094269000	2412	-37	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	94	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668780010.095666000	2412	-37	a1:50:8b:43:b1:20	bb:9f:fd:dd:7e:d6	95	5099251212	ff:ff:bf:db:ff:ff
1668780010.097088000	2412	-36	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	96		ff:ff:ff:ff:ff:ff
1668780010.179269000	2412	-64	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	101	5099251212	ff:ff:ff:ff:ff:ff
1668780010.220864000	2412	-46	e8:50:8b:43:b1:20	ff:77:53:e9:ff:ff	105		ff:ff:ff:ff:ff:ff
1668780010.299551000	2437	-23	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	109	BELL_WIFI	ff:ff:ff:ff:ff:ff
