1668812402.156367000	2462	-91	12:3d:bb:cd:63:67	ff:ff:ff:ff:ff:5f	870		12:d1:e9:24:4d:55
1668812403.504342000	2412	-88	9a:14:75:68:cb:d3	c4:de:24:b9:3a:e3	2760		73:b3:17:96:65:42
1668812404.508939000	2437	-85	b2:5e:12:a8:56:4b	ff:ff:ff:ff:ff:ff	703		ff:ff:ff:ff:ff:ff
1668812404.778126000	2412	-87	9e:11:b7:ee:f6:ab	ff:ff:ff:ff:ff:ff	2453	UWS	ff:ff:ff:ff:ff:ff
1668812404.846220000	2437	-96	e6:d8:4c:b1:8a:74	ff:ff:ff:ff:ff:ff	453	UWS	ff:ff:ff:ff:ff:ff
1668812404.849411000	2462	-90	70:b3:17:a0:53:c6	b9:9d:49:fe:ff:ff	3541		70:b3:17:a0:53:c8
1668812404.894472000	2437	-85	9e:11:b7:ee:f6:ab	ff:ff:ff:ff:ff:ff	2458	UWS	ff:ff:ff:ff:ff:ff
1668812404.941706000	2437	-93	9e:11:b7:ee:f6:ab	ff:ff:ff:ff:ff:ff	2460	UWS	ff:ff:ff:ff:ff:ff
1668812404.962306000	2437	-86	9e:11:b7:ee:f6:ab	ff:ff:ff:ff:ff:ff	2461	UWS	ff:ff:ff:ff:ff:ff
1668812405.013205000	2437	-89	9e:11:b7:ee:f6:ab	ff:ff:ff:ff:ff:ff	2463	UWS	ff:ff:ff:ff:ff:ff
1668812405.380573000	2437	-91	a8:93:4a:a1:e3:6f	ff:ff:ff:ff:ff:ff	1495	UWS	ff:ff:ff:ff:ff:ff
1668812406.953195000	2412	-80	4e:c1:a0:ec:50:c8	ff:ff:ff:ff:ff:ff	2977	UWS	ff:ff:ff:ff:ff:ff
1668812406.977322000	2412	-80	4e:c1:a0:ec:50:c8	ff:ff:ff:ff:ff:ff	2978	UWS	ff:ff:ff:ff:ff:ff
1668812406.997797000	2412	-78	4e:c1:a0:ec:50:c8	ff:ff:ff:ff:ff:ff	2979	UWS	ff:ff:ff:ff:ff:ff
