1668837601.885478000	2462	-89	70:b3:17:96:65:46	ff:ff:ff:ff:ff:ff	2615		70:b3:17:96:65:46
1668837603.267103000	2412	-54	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	672		ff:ff:ff:ff:ff:ff
1668837603.269322000	2412	-55	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	673		ff:ff:ff:ff:ff:ff
1668837603.331028000	2412	-57	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	674		ff:ff:ff:ff:ff:ff
1668837603.395449000	2412	-69	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	676		ff:ff:ff:ff:ff:ff
1668837603.524237000	2412	-76	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	680		ff:ff:ff:ff:ff:ff
1668837603.524256000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	680		ff:ff:ff:ff:ff:ff
1668837603.526361000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	681		ff:ff:ff:ff:ff:ff
1668837603.526380000	2412	-76	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	681		ff:ff:ff:ff:ff:ff
1668837603.588236000	2412	-75	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	682		ff:ff:ff:ff:ff:ff
1668837603.588255000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	682		ff:ff:ff:ff:ff:ff
1668837603.590610000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	683		ff:ff:ff:ff:ff:ff
1668837603.652681000	2437	-31	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	684		ff:ff:ff:ff:ff:ff
1668837603.654658000	2412	-78	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	685		ff:ff:ff:ff:ff:ff
1668837603.654677000	2437	-31	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	685		ff:ff:ff:ff:ff:ff
1668837603.717029000	2412	-79	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	686		ff:ff:ff:ff:ff:ff
1668837603.783532000	2462	-44	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	689		ff:ff:ff:ff:ff:ff
1668837603.845805000	2462	-34	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	690		ff:ff:ff:ff:ff:ff
1668837603.847701000	2462	-34	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	691		ff:ff:ff:ff:ff:ff
1668837603.910129000	2462	-31	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	692		ff:ff:ff:ff:ff:ff
1668837603.912604000	2462	-32	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	693		ff:ff:ff:ff:ff:ff
1668837604.438871000	2412	-87	aa:30:da:86:d2:c0	ff:ff:ff:ff:ff:ff	1115	UWS	ff:ff:ff:ff:ff:ff
1668837604.458377000	2412	-88	aa:30:da:86:d2:c0	ff:ff:ff:ff:ff:ff	1116	UWS	ff:ff:ff:ff:ff:ff
1668837604.481676000	2412	-89	aa:30:da:86:d2:c0	ff:ff:ff:ff:ff:ff	1117	UWS	ff:ff:ff:ff:ff:ff
1668837604.616540000	2437	-84	aa:30:da:86:d2:c0	ff:ff:ff:ff:ff:ff	1123	UWS	ff:ff:ff:ff:ff:ff
1668837604.665282000	2437	-82	aa:30:da:86:d2:c0	ff:ff:ff:ff:ff:ff	1125	UWS	ff:ff:ff:ff:ff:ff
1668837604.685579000	2437	-81	aa:30:da:86:d2:c0	ff:ff:ff:ff:ff:ff	1126	UWS	ff:ff:ff:ff:ff:ff
1668837604.706181000	2437	-87	aa:30:da:86:d2:c0	ff:ff:ff:ff:ff:ff	1127	UWS	ff:ff:ff:ff:ff:ff
1668837604.906505000	2462	-92	8e:30:da:86:d2:68	fb:48:ff:b7:97:bf	1136	UWS	25:f9:ff:ff:ff:ff
1668837608.612027000	2462	-93	dc:71:96:76:92:42	ff:ff:ff:ff:ff:ff	3908	UWS	ff:ff:ff:ff:ff:ff
1668837609.478904000	2437	-92	c2:f9:f5:3e:ed:7a	ff:ff:ff:ff:ff:ff	829		ff:ff:ff:ff:ff:ff
1668837609.559330000	2412	-92	ba:94:a4:71:70:b0	ff:ff:ff:ff:ff:ff	958		ff:ff:ff:ff:ff:ff
1668837613.801764000	2412	-91	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	2784		ff:ff:ff:ff:ff:ff
1668837613.804616000	2412	-92	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	2785		ff:ff:ff:ff:ff:ff
1668837613.806838000	2412	-91	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	2786		ff:ff:ff:ff:ff:ff
1668837613.960537000	2412	-92	aa:30:da:86:d2:c0	ff:ff:ff:ff:ff:ff	1137	UWS	ff:ff:ff:ff:ff:ff
1668837613.980914000	2412	-85	aa:30:da:86:d2:c0	ff:ff:ff:ff:ff:ff	1138	UWS	ff:ff:ff:ff:ff:ff
1668837614.024137000	2412	-87	aa:30:da:86:d2:c0	ff:ff:ff:ff:ff:ff	1140	UWS	ff:ff:ff:ff:ff:ff
1668837614.061361000	2437	-84	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	2796		ff:ff:ff:ff:ff:ff
1668837614.067194000	2437	-82	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	2798		ff:ff:ff:ff:ff:ff
1668837614.125945000	2437	-85	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	2799		ff:ff:ff:ff:ff:ff
1668837614.129689000	2437	-87	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	2800		ff:ff:ff:ff:ff:ff
1668837614.131920000	2437	-86	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	2801		ff:ff:ff:ff:ff:ff
1668837614.190903000	2462	-85	8e:c1:ae:ba:b1:37	ff:ff:ff:ff:ff:ff	1863	UWS	ff:ff:ff:ff:ff:ff
1668837614.196202000	2437	-79	aa:30:da:86:d2:c0	ff:ff:ff:ff:ff:ff	1147	UWS	ff:ff:ff:ff:ff:ff
1668837614.208416000	2437	-77	aa:30:da:86:d2:c0	ff:ff:ff:ff:ff:ff	1148	UWS	ff:ff:ff:ff:ff:ff
1668837614.211219000	2462	-84	8e:c1:ae:ba:b1:37	ff:ff:ff:ff:ff:ff	850		ff:ff:ff:ff:df:02
1668837614.228416000	2437	-80	aa:30:da:86:d2:c0	ff:ff:ff:ff:ff:ff	1149	UWS	ff:ff:ff:ff:ff:ff
1668837614.248578000	2437	-79	aa:30:da:86:d2:c0	ff:ff:ff:ff:ff:ff	1150	UWS	ff:ff:ff:ff:ff:ff
1668837614.300093000	2412	-87	8e:c1:ae:ba:b1:37	ff:ff:ff:ff:ff:ff	1868	UWS	ff:ff:ff:ff:ff:ff
1668837614.385089000	2462	-84	aa:30:da:86:d2:c0	ff:ff:ff:ff:ff:ff	1191	��F��W�~E��<9#�W`�e�����v�q?O���w�v�4�o���������N��e��G����9�~��hj=@`��s����lY�|�+�7	ff:ff:ff:77:08:ca
1668837614.395076000	2462	-77	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	2811		ff:ff:ff:ff:ff:ff
1668837614.403225000	2462	-79	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	2813		ff:ff:ff:ff:ff:ff
1668837614.414597000	2462	-89	aa:30:da:86:d2:c0	ff:ff:ff:ff:ff:ff	1157	UWS	ff:ff:ff:ff:ff:ff
1668837614.430144000	2462	-88	aa:30:da:86:d2:c0	ff:ff:ff:ff:ff:ff	1158	UWS	ff:ff:ff:ff:ff:ff
1668837614.463171000	2462	-80	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	2814		ff:ff:ff:ff:ff:ff
1668837614.467175000	2462	-80	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	2815		ff:ff:ff:ff:ff:ff
1668837614.469392000	2462	-81	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	2816		ff:ff:ff:ff:ff:ff
1668837614.530852000	2462	-78	80:8a:bd:24:18:99	57:bd:f4:ff:ff:ff	3533		46:cd:a8:78:be:75
1668837614.533073000	2462	-79	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	2818		ff:ff:ff:ff:ff:ff
1668837614.872269000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	596		ff:ff:ff:ff:ff:ff
1668837614.872289000	2437	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	596		ff:ff:ff:ff:ff:ff
1668837614.872305000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	596		ff:ff:ff:ff:ff:ff
1668837614.874444000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	597		ff:ff:ff:ff:ff:ff
1668837614.874464000	2437	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	597		ff:ff:ff:ff:ff:ff
1668837614.874479000	2462	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	597		ff:ff:ff:ff:ff:ff
1668837614.916025000	2412	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	598		ff:ff:ff:ff:ff:ff
1668837614.916045000	2437	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	598		ff:ff:ff:ff:ff:ff
1668837614.916060000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	598		ff:ff:ff:ff:ff:ff
1668837614.918124000	2412	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	599		ff:ff:ff:ff:ff:ff
1668837614.918143000	2437	-59	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	599		ff:ff:ff:ff:ff:ff
1668837614.918159000	2462	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	599		ff:ff:ff:ff:ff:ff
1668837614.937642000	2437	-86	8e:c1:ae:ba:b1:37	ff:ff:ff:ff:ff:ff	1872	UWS	ff:ff:ff:ff:ff:ff
1668837614.960170000	2437	-54	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	600		ff:ff:ff:ff:ff:ff
1668837614.962276000	2437	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	601		ff:ff:ff:ff:ff:ff
1668837614.962296000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	601		ff:ff:ff:ff:ff:ff
1668837615.004098000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	602		ff:ff:ff:ff:ff:ff
1668837615.004118000	2412	-59	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	602		ff:ff:ff:ff:ff:ff
1668837615.006302000	2412	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	603		ff:ff:ff:ff:ff:ff
1668837615.006321000	2437	-41	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	603		ff:ff:ff:ff:ff:ff
1668837615.006336000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	603		ff:ff:ff:ff:ff:ff
1668837615.026021000	2412	-85	8e:c1:ae:ba:b1:37	ff:ff:ff:ff:ff:ff	1876	UWS	ff:ff:ff:ff:ff:ff
1668837615.048080000	2412	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	604		ff:ff:ff:ff:ff:ff
1668837615.048099000	2437	-80	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	604		ff:ff:ff:ff:ff:ff
1668837615.048114000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	604		ff:ff:ff:ff:ff:ff
1668837615.050222000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	605		ff:ff:ff:ff:ff:ff
1668837615.050241000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	605		ff:ff:ff:ff:ff:ff
1668837615.092077000	2412	-68	fa:a7:90:bb:06:d5	ff:ff:ff:ff:ff:7f	719		fd:ff:bf:db:ef:b2
1668837615.092097000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	606		ff:ff:ff:ff:ff:ff
1668837615.092112000	2462	-61	b2:87:46:5b:03:91	ff:ff:ff:ff:ff:ff	2654		ff:77:ff:99:8f:b0
1668837615.094179000	2412	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	607		ff:ff:ff:ff:ff:ff
1668837615.094198000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	607		ff:ff:ff:ff:ff:ff
1668837615.094214000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	607		ff:ff:ff:ff:ff:ff
1668837615.136028000	2412	-75	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	608		ff:ff:ff:ff:ff:ff
1668837615.136048000	2437	-35	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	608		ff:ff:ff:ff:ff:ff
1668837615.136063000	2462	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	608		ff:ff:ff:ff:ff:ff
1668837615.138096000	2437	-35	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	609		ff:ff:ff:ff:ff:ff
1668837615.138115000	2462	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	609		ff:ff:ff:ff:ff:ff
1668837615.180094000	2412	-85	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	610		ff:ff:ff:ff:ff:ff
