1668852002.978247000	2412	-90	70:b3:17:ac:e1:43	ff:ff:ff:ff:ff:ff	587		70:b3:17:ac:e1:43
1668852005.958563000	2412	-55	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2120		ff:ff:ff:ff:ff:ff
1668852005.960783000	2412	-55	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2121		ff:ff:ff:ff:ff:ff
1668852006.022664000	2412	-58	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2122		ff:ff:ff:ff:ff:ff
1668852006.024685000	2412	-58	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2123		ff:ff:ff:ff:ff:ff
1668852006.215846000	2412	-77	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2128		ff:ff:ff:ff:ff:ff
1668852006.215866000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2128		ff:ff:ff:ff:ff:ff
1668852006.217865000	2412	-76	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2129		ff:ff:ff:ff:ff:ff
1668852006.217885000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2129		ff:ff:ff:ff:ff:ff
1668852006.280147000	2412	-75	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2130		ff:ff:ff:ff:ff:ff
1668852006.280167000	2437	-27	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2130		ff:ff:ff:ff:ff:ff
1668852006.282139000	2412	-75	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2131		ff:ff:ff:ff:ff:ff
1668852006.282159000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2131		ff:ff:ff:ff:ff:ff
1668852006.364696000	2412	-79	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2132		ff:ff:ff:ff:ff:ff
1668852006.364716000	2437	-31	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2132		ff:ff:ff:ff:ff:ff
