1668855603.649144000	2437	-89	29:97:43:6c:26:77	0a:91:9b:e4:66:e0	411		03:f1:b2:7f:94:73
1668855606.453917000	2412	-57	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1728		ff:ff:ff:ff:ff:ff
1668855606.456080000	2412	-55	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1729		ff:ff:ff:ff:ff:ff
1668855606.518218000	2412	-58	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1730		ff:ff:ff:ff:ff:ff
1668855606.520193000	2412	-58	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1731		ff:ff:ff:ff:ff:ff
1668855606.582621000	2412	-69	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1732		ff:ff:ff:ff:ff:ff
1668855606.584566000	2412	-69	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1733		ff:ff:ff:ff:ff:ff
1668855606.711398000	2412	-77	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1736		ff:ff:ff:ff:ff:ff
1668855606.711418000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1736		ff:ff:ff:ff:ff:ff
1668855606.713322000	2412	-77	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1737		ff:ff:ff:ff:ff:ff
1668855606.713341000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1737		ff:ff:ff:ff:ff:ff
1668855606.795774000	2437	-28	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1738		ff:ff:ff:ff:ff:ff
1668855606.798148000	2412	-76	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1739		ff:ff:ff:ff:ff:ff
1668855606.798168000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1739		ff:ff:ff:ff:ff:ff
1668855606.860195000	2437	-31	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1740		ff:ff:ff:ff:ff:ff
1668855606.862192000	2412	-78	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1741		ff:ff:ff:ff:ff:ff
1668855607.053450000	2462	-34	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1746		ff:ff:ff:ff:ff:ff
1668855607.055477000	2462	-34	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1747		ff:ff:ff:ff:ff:ff
1668855607.117562000	2462	-32	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1748		ff:ff:ff:ff:ff:ff
1668855607.119616000	2462	-31	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1749		ff:ff:ff:ff:ff:ff
1668855611.154511000	2437	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	13		ff:ff:ff:ff:ff:ff
1668855611.175335000	2437	-93	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	14		ff:ff:ff:ff:ff:ff
1668855612.062890000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2736		ff:ff:ff:ff:ff:ff
1668855612.062909000	2437	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2736		ff:ff:ff:ff:ff:ff
1668855612.062924000	2462	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2736		ff:ff:ff:ff:ff:ff
1668855612.065025000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2737		ff:ff:ff:ff:ff:ff
1668855612.065045000	2437	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2737		ff:ff:ff:ff:ff:ff
1668855612.065060000	2462	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2737		ff:ff:ff:ff:ff:ff
1668855612.106697000	2412	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2738		ff:ff:ff:ff:ff:ff
1668855612.106717000	2437	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2738		ff:ff:ff:ff:ff:ff
1668855612.109091000	2412	-41	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2739		ff:ff:ff:ff:ff:ff
1668855612.109110000	2437	-59	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2739		ff:ff:ff:ff:ff:ff
1668855612.150771000	2437	-51	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2740		ff:ff:ff:ff:ff:ff
1668855612.150790000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2740		ff:ff:ff:ff:ff:ff
1668855612.152940000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2741		ff:ff:ff:ff:ff:ff
1668855612.194698000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2742		ff:ff:ff:ff:ff:ff
1668855612.194718000	2412	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2742		ff:ff:ff:ff:ff:ff
