1668898804.756159000	2412	-80	3f:7f:b8:b1:83:1d	c1:28:fe:c9:bd:c4	1271		b8:39:7b:bf:84:83
1668898804.772734000	2437	-82	14:f6:d8:bd:10:46	ff:ff:ff:ff:ff:ff	2875		ff:ff:ff:ff:ff:ff
1668898804.834421000	2437	-84	14:f6:d8:bd:10:46	ff:ff:ff:ff:ff:ff	2876		ff:ff:ff:ff:ff:ff
1668898805.128437000	2462	-90	14:f6:d8:bd:10:46	ff:ff:ff:ff:ff:ff	2882		ff:ff:ff:ff:ff:ff
1668898805.789632000	2412	-82	b7:ba:77:90:23:24	60:a5:92:0c:9e:07	670		a5:9d:0c:ed:8d:81
1668898806.990214000	2437	-89	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	14	SHAW-EED3BA	ff:ff:ff:ff:ff:ff
1668898807.219743000	2437	-90	dc:21:5c:92:af:a1	b3:3b:fe:ff:ff:ff	3441		7c:ff:ff:ff:ff:ff
1668898808.458280000	2462	-80	62:99:b9:7e:7c:05	ff:ff:ff:ff:ff:ff	1290		ff:ff:ff:ff:ff:ff
1668898808.459575000	2462	-78	ca:d5:40:33:75:8c	ff:ff:ff:ff:ff:ff	4081		ff:ff:ff:ff:ff:ff
1668898808.498919000	2412	-82	52:90:37:43:d7:8e	ff:ff:ff:ff:ff:ff	2605		ff:ff:ff:ff:ff:ff
1668898808.500497000	2412	-82	6a:4e:44:e4:56:48	ff:ff:ff:ff:ff:ff	1456		ff:ff:ff:ff:ff:ff
1668898808.551209000	2437	-81	aa:71:03:27:b7:66	ff:ff:ff:ff:ff:ff	3292		ff:ff:ff:ff:ff:ff
1668898808.552644000	2437	-81	aa:49:4f:e6:3b:e8	ff:ff:ff:ff:ff:ff	3947		ff:ff:ff:ff:ff:ff
1668898808.766398000	2437	-91	cc:0a:7d:b2:87:91	e0:f2:b0:e3:df:7c	1113		ec:1f:e2:28:7f:d6
1668898809.056093000	2437	-85	14:f6:d8:bd:10:46	ff:ff:ff:ff:ff:ff	2917		ff:ff:ff:ff:ff:ff
1668898809.109297000	2437	-84	14:f6:d8:bd:10:46	ff:ff:ff:ff:ff:ff	2918		ff:ff:ff:ff:ff:ff
