1668920405.047024000	2412	-87	81:0e:73:63:aa:fa	70:72:1f:1d:cd:74	2286		a7:6b:43:da:d3:2f
1668920406.699128000	2412	-81	30:54:64:30:68:5d	d8:c1:21:1d:5c:28	2119		db:42:e5:db:27:0e
1668920409.355903000	2412	-95	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1523		ff:ff:ff:ff:ff:ff
1668920409.358124000	2412	-92	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1524		ff:ff:ff:ff:ff:ff
1668920409.360352000	2412	-93	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1525		ff:ff:ff:ff:ff:ff
1668920409.615206000	2437	-88	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1537		ff:ff:ff:ff:ff:ff
1668920409.674714000	2437	-86	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1538		ff:ff:ff:ff:ff:ff
1668920409.676979000	2437	-86	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1539		ff:ff:ff:ff:ff:ff
1668920409.680630000	2437	-86	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1540		ff:ff:ff:ff:ff:ff
1668920409.737369000	2437	-85	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1541		ff:ff:ff:ff:ff:ff
1668920409.739633000	2437	-85	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1542		ff:ff:ff:ff:ff:ff
1668920409.992756000	2462	-89	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1553		ff:ff:ff:ff:ff:ff
1668920409.994923000	2462	-89	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1554		ff:ff:ff:ff:ff:ff
1668920409.997833000	2462	-88	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1555		ff:ff:ff:ff:ff:ff
1668920410.326080000	2437	-88	dc:21:5c:92:af:81	ff:ff:ff:ff:ff:ff	2401		ff:ff:ff:ff:ff:ff
1668920410.877693000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3862		ff:ff:ff:ff:ff:ff
1668920410.877712000	2437	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3862		ff:ff:ff:ff:ff:ff
1668920410.877727000	2462	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3862		ff:ff:ff:ff:ff:ff
1668920410.879764000	2412	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3863		ff:ff:ff:ff:ff:ff
1668920410.879783000	2437	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3863		ff:ff:ff:ff:ff:ff
1668920410.879799000	2462	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3863		ff:ff:ff:ff:ff:ff
1668920410.921092000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3864		ff:ff:ff:ff:ff:ff
1668920410.921111000	2437	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3864		ff:ff:ff:ff:ff:ff
1668920410.923446000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3865		ff:ff:ff:ff:ff:ff
1668920410.923465000	2437	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3865		ff:ff:ff:ff:ff:ff
1668920410.923480000	2462	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3865		ff:ff:ff:ff:ff:ff
1668920410.965111000	2437	-51	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3866		ff:ff:ff:ff:ff:ff
1668920410.979818000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3868		ff:ff:ff:ff:ff:ff
1668920410.979838000	2412	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3868		ff:ff:ff:ff:ff:ff
1668920410.982017000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3869		ff:ff:ff:ff:ff:ff
1668920410.982037000	2412	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3869		ff:ff:ff:ff:ff:ff
1668920410.994411000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3870		ff:ff:ff:ff:ff:ff
1668920410.994431000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3870		ff:ff:ff:ff:ff:ff
1668920410.996570000	2412	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3871		ff:ff:ff:ff:ff:ff
1668920410.996590000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3871		ff:ff:ff:ff:ff:ff
1668920410.996605000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3871		ff:ff:ff:ff:ff:ff
1668920411.058598000	2412	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3872		ff:ff:ff:ff:ff:ff
1668920411.058617000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3872		ff:ff:ff:ff:ff:ff
1668920411.058633000	2462	-61	f6:85:66:81:23:91	ff:ff:ff:ff:ff:ff	3842		ff:77:fb:ff:bb:b9
1668920411.060916000	2412	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3873		ff:ff:ff:ff:ff:ff
1668920411.060936000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3873		ff:ff:ff:ff:ff:ff
1668920411.060951000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3873		ff:ff:ff:ff:ff:ff
1668920411.102571000	2412	-77	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3874		ff:ff:ff:ff:ff:ff
1668920411.102591000	2437	-84	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3874		ff:ff:ff:ff:ff:ff
1668920411.102606000	2462	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3874		ff:ff:ff:ff:ff:ff
1668920411.104695000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3875		ff:ff:ff:ff:ff:ff
1668920411.104715000	2462	-59	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3875		ff:ff:ff:ff:ff:ff
1668920411.170488000	2437	-42	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3877		ff:ff:ff:ff:ff:ff
