1668970802.217470000	2462	-91	00:22:e9:b2:f3:39	ff:ff:ff:ff:ff:ff	110		6e:ff:bf:8b:53:b2
1668970802.331802000	2437	-93	3c:58:c2:ff:8d:59	ff:ff:ff:ff:ff:ff	3143		ff:ff:ff:ff:ff:ff
1668970802.480822000	2437	-90	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	14	SHAW-EED3BA	ff:ff:ff:ff:ff:ff
1668970802.979527000	2437	-93	dc:21:5c:92:af:c1	ff:ff:ff:ff:ff:ff	103		db:ff:ff:ff:ff:ff
1668970808.243147000	2412	-38	da:a1:19:5b:3f:fe	ff:ff:ff:ff:ff:ff	1726		ff:ff:ff:ff:ff:ff
1668970808.283046000	2412	-40	da:a1:19:5b:3f:fe	ff:ff:ff:ff:ff:ff	1727		ff:ff:ff:ff:ff:ff
1668970808.327470000	2412	-35	da:a1:19:5b:3f:fe	ff:ff:ff:ff:ff:ff	1728		ff:ff:ff:ff:ff:ff
1668970808.367245000	2412	-34	da:a1:19:5b:3f:fe	ff:ff:ff:ff:ff:ff	1729		ff:ff:ff:ff:ff:ff
1668970808.451796000	2412	-44	da:a1:19:5b:3f:fe	ff:ff:ff:ff:ff:ff	1731		ff:ff:ff:ff:ff:ff
1668970808.496474000	2437	-37	da:a1:19:5b:3f:fe	ff:ff:ff:ff:ff:ff	1732		ff:ff:ff:ff:ff:ff
1668970808.580769000	2437	-28	da:a1:19:5b:3f:fe	ff:ff:ff:ff:ff:ff	1734		ff:ff:ff:ff:ff:ff
1668970808.620072000	2437	-26	da:a1:19:5b:3f:fe	ff:ff:ff:ff:ff:ff	1735		ff:ff:ff:ff:ff:ff
1668970808.664299000	2437	-24	da:a1:19:5b:3f:fe	ff:ff:ff:ff:ff:ff	1736		ff:ff:ff:ff:ff:ff
1668970808.685344000	2437	-92	3c:58:c2:ff:8d:59	ff:ff:ff:ff:ff:ff	3223		ff:ff:ff:ff:ff:ff
1668970808.704580000	2412	-75	da:a1:19:5b:3f:fe	ff:ff:ff:ff:ff:ff	1737		ff:ff:ff:ff:ff:ff
1668970808.704600000	2437	-24	da:a1:19:5b:3f:fe	ff:ff:ff:ff:ff:ff	1737		ff:ff:ff:ff:ff:ff
1668970808.748055000	2412	-76	da:a1:19:5b:3f:fe	ff:ff:ff:ff:ff:ff	1738		ff:ff:ff:ff:ff:ff
1668970808.748075000	2437	-29	da:a1:19:5b:3f:fe	ff:ff:ff:ff:ff:ff	1738		ff:ff:ff:ff:ff:ff
1668970808.788274000	2412	-76	da:a1:19:5b:3f:fe	ff:ff:ff:ff:ff:ff	1739		ff:ff:ff:ff:ff:ff
1668970808.788294000	2437	-29	da:a1:19:5b:3f:fe	ff:ff:ff:ff:ff:ff	1739		ff:ff:ff:ff:ff:ff
1668970808.917895000	2412	-79	da:a1:19:5b:3f:fe	ff:ff:ff:ff:ff:ff	1742		ff:ff:ff:ff:ff:ff
1668970808.958098000	2412	-78	da:a1:19:5b:3f:fe	ff:ff:ff:ff:ff:ff	1743		ff:ff:ff:ff:ff:ff
1668970809.002752000	2462	-44	da:a1:19:5b:3f:fe	ff:ff:ff:ff:ff:ff	1744		ff:ff:ff:ff:ff:ff
1668970809.042354000	2412	-75	da:a1:19:5b:3f:fe	ff:ff:ff:ff:ff:ff	1745		ff:ff:ff:ff:ff:ff
1668970809.042374000	2462	-44	da:a1:19:5b:3f:fe	ff:ff:ff:ff:ff:ff	1745		ff:ff:ff:ff:ff:ff
1668970809.086628000	2412	-74	da:a1:19:5b:3f:fe	ff:ff:ff:ff:ff:ff	1746		ff:ff:ff:ff:ff:ff
1668970809.086647000	2462	-42	da:a1:19:5b:3f:fe	ff:ff:ff:ff:ff:ff	1746		ff:ff:ff:ff:ff:ff
1668970809.126211000	2412	-71	da:a1:19:5b:3f:fe	ff:ff:ff:ff:ff:ff	1747		ff:ff:ff:ff:ff:ff
1668970809.126231000	2437	-71	da:a1:19:5b:3f:fe	ff:ff:ff:ff:ff:ff	1747		ff:ff:ff:ff:ff:ff
1668970809.126246000	2462	-42	da:a1:19:5b:3f:fe	ff:ff:ff:ff:ff:ff	1747		ff:ff:ff:ff:ff:ff
1668970810.513277000	2437	-91	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	13		ff:ff:ff:ff:ff:ff
1668970813.549787000	2437	-89	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	36		ff:ff:ff:ff:ff:ff
1668970814.184790000	2437	-91	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	58		ff:ff:ff:ff:ff:ff
1668970814.832695000	2437	-91	3c:58:c2:ff:8d:59	ff:ff:ff:ff:ff:ff	3303		ff:ff:ff:ff:ff:ff
1668970814.849919000	2437	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	14		ff:ff:ff:ff:ff:ff
1668970815.076510000	2412	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	174		ff:ff:ff:ff:ff:ff
1668970815.076530000	2437	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	174		ff:ff:ff:ff:ff:ff
1668970815.076546000	2462	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	174		ff:ff:ff:ff:ff:ff
1668970815.079256000	2412	-37	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	175		ff:ff:ff:ff:ff:ff
1668970815.079275000	2437	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	175		ff:ff:ff:ff:ff:ff
1668970815.079291000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	175		ff:ff:ff:ff:ff:ff
1668970815.138706000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	176		ff:ff:ff:ff:ff:ff
1668970815.138725000	2437	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	176		ff:ff:ff:ff:ff:ff
1668970815.140825000	2412	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	177		ff:ff:ff:ff:ff:ff
1668970815.140844000	2437	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	177		ff:ff:ff:ff:ff:ff
1668970815.182602000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	178		ff:ff:ff:ff:ff:ff
1668970815.184756000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	179		ff:ff:ff:ff:ff:ff
1668970815.184776000	2437	-51	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	179		ff:ff:ff:ff:ff:ff
1668970815.197257000	2412	-54	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	180		ff:ff:ff:ff:ff:ff
1668970815.197276000	2437	-79	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	180		ff:ff:ff:ff:ff:ff
1668970815.197292000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	180		ff:ff:ff:ff:ff:ff
1668970815.199330000	2412	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	181		ff:ff:ff:ff:ff:ff
1668970815.199349000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	181		ff:ff:ff:ff:ff:ff
1668970815.241284000	2412	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	182		ff:ff:ff:ff:ff:ff
1668970815.241303000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	182		ff:ff:ff:ff:ff:ff
1668970815.241318000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	182		ff:ff:ff:ff:ff:ff
1668970815.243428000	2412	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	183		ff:ff:ff:ff:ff:ff
1668970815.243448000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	183		ff:ff:ff:ff:ff:ff
1668970815.243463000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	183		ff:ff:ff:ff:ff:ff
1668970815.258152000	2412	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	184		ff:ff:ff:ff:ff:ff
1668970815.258172000	2437	-31	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	184		ff:ff:ff:ff:ff:ff
1668970815.258187000	2462	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	184		ff:ff:ff:ff:ff:ff
1668970815.260304000	2412	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	185		ff:ff:ff:ff:ff:ff
1668970815.260323000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	185		ff:ff:ff:ff:ff:ff
1668970815.260338000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	185		ff:ff:ff:ff:ff:ff
1668970815.299906000	2412	-74	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	186		ff:ff:ff:ff:ff:ff
1668970815.299926000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	186		ff:ff:ff:ff:ff:ff
1668970815.299941000	2462	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	186		ff:ff:ff:ff:ff:ff
1668970815.302085000	2437	-35	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	187		ff:ff:ff:ff:ff:ff
1668970815.302105000	2462	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	187		ff:ff:ff:ff:ff:ff
1668970815.302120000	2412	-75	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	187		ff:ff:ff:ff:ff:ff
1668970815.314632000	2462	-51	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	188		ff:ff:ff:ff:ff:ff
1668970815.314652000	2412	-83	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	188		ff:ff:ff:ff:ff:ff
1668970815.358548000	2437	-53	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	190		ff:ff:ff:ff:ff:ff
1668970815.402857000	2437	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	192		ff:ff:ff:ff:ff:ff
1668970815.402876000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	192		ff:ff:ff:ff:ff:ff
1668970815.404901000	2437	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	193		ff:ff:ff:ff:ff:ff
1668970815.404921000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	193		ff:ff:ff:ff:ff:ff
