1668974402.130087000	2462	-93	00:22:af:d2:1b:dc	bf:db:26:db:29:f2	23		ff:ff:77:bf:fd:ff
1668974402.412513000	2437	-89	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	36		ff:ff:ff:ff:ff:ff
1668974402.486100000	2412	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1178		ff:ff:ff:ff:ff:ff
1668974402.486119000	2437	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1178		ff:ff:ff:ff:ff:ff
1668974402.486135000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1178		ff:ff:ff:ff:ff:ff
1668974402.488145000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1179		ff:ff:ff:ff:ff:ff
1668974402.488164000	2437	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1179		ff:ff:ff:ff:ff:ff
1668974402.488180000	2462	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1179		ff:ff:ff:ff:ff:ff
1668974402.550022000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1180		ff:ff:ff:ff:ff:ff
1668974402.550042000	2437	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1180		ff:ff:ff:ff:ff:ff
1668974402.550057000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1180		ff:ff:ff:ff:ff:ff
1668974402.552123000	2412	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1181		ff:ff:ff:ff:ff:ff
1668974402.552143000	2437	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1181		ff:ff:ff:ff:ff:ff
1668974402.552158000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1181		ff:ff:ff:ff:ff:ff
1668974402.594017000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1182		ff:ff:ff:ff:ff:ff
1668974402.596425000	2437	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1183		ff:ff:ff:ff:ff:ff
1668974402.596444000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1183		ff:ff:ff:ff:ff:ff
1668974402.637941000	2412	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1184		ff:ff:ff:ff:ff:ff
1668974402.637961000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1184		ff:ff:ff:ff:ff:ff
1668974402.640128000	2412	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1185		ff:ff:ff:ff:ff:ff
1668974402.640147000	2437	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1185		ff:ff:ff:ff:ff:ff
1668974402.640163000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1185		ff:ff:ff:ff:ff:ff
1668974402.652675000	2412	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1186		ff:ff:ff:ff:ff:ff
1668974402.652695000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1186		ff:ff:ff:ff:ff:ff
1668974402.652710000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1186		ff:ff:ff:ff:ff:ff
1668974402.654852000	2412	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1187		ff:ff:ff:ff:ff:ff
1668974402.654872000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1187		ff:ff:ff:ff:ff:ff
1668974402.654888000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1187		ff:ff:ff:ff:ff:ff
1668974402.696746000	2412	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1188		ff:ff:ff:ff:ff:ff
1668974402.696765000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1188		ff:ff:ff:ff:ff:ff
1668974402.696782000	2462	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1188		ff:ff:ff:ff:ff:ff
1668974402.698939000	2412	-68	b2:c3:64:09:94:90	ff:5d:d0:cf:be:b3	1189		ff:ff:ff:ff:ff:ff
1668974402.698958000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1189		ff:ff:ff:ff:ff:ff
1668974402.698974000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1189		ff:ff:ff:ff:ff:ff
