1669024802.139811000	2412	-86	70:b3:17:a0:53:c7	ff:ff:ff:ff:ff:ff	2453		70:b3:17:a0:53:c7
1669024805.276710000	2462	-94	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	2	SHAW-EED3BA	ff:ff:ff:ff:ff:ff
1669024806.436726000	2412	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1700		ff:ff:ff:ff:ff:ff
1669024806.436745000	2437	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1700		ff:ff:ff:ff:ff:ff
1669024806.436761000	2462	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1700		ff:ff:ff:ff:ff:ff
1669024806.439099000	2412	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1701		ff:ff:ff:ff:ff:ff
1669024806.439118000	2437	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1701		ff:ff:ff:ff:ff:ff
1669024806.439135000	2462	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1701		ff:ff:ff:ff:ff:ff
1669024806.480149000	2412	-85	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1702		ff:ff:ff:ff:ff:ff
1669024806.480168000	2437	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1702		ff:ff:ff:ff:ff:ff
1669024806.482390000	2437	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1703		ff:ff:ff:ff:ff:ff
1669024806.524165000	2437	-51	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1704		ff:ff:ff:ff:ff:ff
1669024806.526247000	2437	-51	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1705		ff:ff:ff:ff:ff:ff
1669024806.526267000	2462	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1705		ff:ff:ff:ff:ff:ff
1669024806.568072000	2412	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1706		ff:ff:ff:ff:ff:ff
1669024806.568092000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1706		ff:ff:ff:ff:ff:ff
1669024806.570173000	2412	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1707		ff:ff:ff:ff:ff:ff
1669024806.570192000	2437	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1707		ff:ff:ff:ff:ff:ff
1669024806.570207000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1707		ff:ff:ff:ff:ff:ff
1669024806.612105000	2412	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1708		ff:ff:ff:ff:ff:ff
1669024806.612125000	2437	-81	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1708		ff:ff:ff:ff:ff:ff
1669024806.612141000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1708		ff:ff:ff:ff:ff:ff
1669024806.614225000	2412	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1709		ff:ff:ff:ff:ff:ff
1669024806.614244000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1709		ff:ff:ff:ff:ff:ff
1669024806.614259000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1709		ff:ff:ff:ff:ff:ff
1669024806.676225000	2412	-68	b6:87:22:0b:27:91	ff:ff:ff:ff:77:73	1710		ff:6e:ff:bf:cb:b2
1669024806.676244000	2437	-31	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1710		ff:ff:ff:ff:ff:ff
1669024806.676260000	2462	-60	b2:87:e6:89:ad:36	ff:ff:ff:ff:ff:ff	678	6��	d2:67:ff:dd:1d:97
1669024806.678291000	2412	-69	b6:07:ea:cb:3a:15	ff:ff:ff:ff:7f:3f	3726		97:ed:ff:dd:5c:72
1669024806.678310000	2462	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1711		ff:ff:ff:ff:ff:ff
